date,type,duration_min,distance_km,hr_avg,rpe,notes
2026-05-03,strength,50,,128,7,Push day — bench / OHP
2026-05-05,zone-2 run,45,7.2,138,5,Riverside trail
2026-05-07,strength,55,,132,7,Pull day — rows / pull-ups
2026-05-10,bouldering,90,,125,6,Austin Bouldering Project — V3 project
2026-05-13,strength,50,,130,7,Leg day — squats / RDL
2026-05-15,zone-2 run,45,7.0,136,5,Rest day after physical
2026-05-18,strength,50,,129,7,Push day
2026-05-20,zone-2 run,50,8.1,140,5,Longer effort — feeling good
2026-05-22,bouldering,90,,122,5,Sent the V3 — first time!
2026-05-25,strength,55,,131,8,Pull day — added weight
2026-05-27,zone-2 run,45,7.3,137,5,Easy recovery
2026-05-29,rest,0,0,,,Travel day to Portland
2026-06-01,strength,50,,128,7,Back from Portland
2026-06-03,zone-2 run,50,8.0,138,5,Best run yet — sub-6:10/km
2026-06-05,bouldering,90,,124,6,Working a V4
2026-06-08,strength,55,,132,7,Leg day — PR on squat (+5 kg)
2026-06-10,zone-2 run,45,7.5,136,5,Morning run before work
