week_of,domain,headline,metric,value,note
2026-06-08,wealth,Net worth steady,net_worth,423000,Emergency fund 32k before HVAC
2026-06-08,wealth,Auto-invest on track,monthly_contrib,1800,1500 brokerage + 300 to 529
2026-06-08,homestead,HVAC replacement due,quote,9000,Service 6/18; pay from cash leaves ~23k buffer
2026-06-08,homestead,Mortgage,balance,451800,6.25 percent; PITI 3180/mo; value ~485k
2026-06-08,tax,Q2 estimate due,due_date,2026-06-15,Need consulting revenue to Maria first
2026-06-08,insurance,Auto renewal,due_date,2026-07-01,Compare GEICO before auto-charge
2026-06-08,insurance,Umbrella gap,coverage,0,1M under consideration; bind in September
2026-06-08,career,Acme deliverable,due_date,2026-06-20,Largest open invoice
2026-06-08,career,Consulting recurring revenue,threshold,8000,Full-time decision trigger for 2027
2026-06-08,travel,Phoenix rental trip,target,2026-07-15,Coordinate dates with Sun Valley PM
2026-06-08,health,LDL recheck,ldl,142,Borderline; recheck Aug with Dr. Chen
2026-06-08,fitness,Half-marathon,race_date,2026-11-15,Saturday long runs holding
