room,item,brand_model,purchase_year,est_value_usd,serial_or_note
living room,Sofa (sectional),West Elm Harmony,2023,1900,
living room,65in OLED TV,LG C3,2023,1400,for insurance schedule
living room,Soundbar,Sonos Arc,2023,750,
kitchen,Refrigerator,Samsung French door,2023,2100,
kitchen,Range,GE Profile gas,2023,1300,
kitchen,Dishwasher,Bosch 300,2023,800,
home office,Desk and chair,Uplift + Steelcase,2023,1300,used for consulting LLC
home office,MacBook Pro 16,Apple M3 Pro,2024,2600,consulting laptop
home office,Monitor,Dell 27 4K,2024,500,
primary bedroom,Mattress and frame,Saatva queen,2023,1700,
primary bedroom,Jewelry and watch,assorted,various,2200,photograph for claims
maya bedroom,Bunk bed and desk,assorted,2024,700,
garage,Lawn mower,Ryobi battery,2023,400,
garage,Power tools,DeWalt set,2023,650,
systems,HVAC condenser and air handler,Carrier,2016,replace ~8900,near end of life
systems,Water heater,Rheem 50gal,2019,1100,
